Texto,Categoria
Tenho problemas com a minha internet,0
Gostaria de comprar um novo aparelho celular,2
Aqui o app nunca funciona,1
Gente a banda larga da ctbc tá péssima,0
"Aqui em patos de minas tá osso , desde início do mês internet cai toda hora",0
"Não consigo entrar de jeito nenhum, não da pra fazer login, não entra nem com meu cpf",1
App não funciona quando vai ser criado o perfil de usuário nunca envia a mensagem para confirmar a criação do perfil péssimo app,1
"Depois da última atualização, fica rodando em segundo plano, e com isso consumindo grande quantidade de bateria.",1
"Queria ver os celulares, onde encontro?",2
"O valor do desconto para comprar um smartphone para o meu plano, onde procuro?",2
Não entendo os preços dos aparelhos que vocês vendem,2
